Test Number,Was Tested On P1,Was Tested On P2,Was Tested On P3,Was Tested On P4,Was Tested On Multiple Participants,Test Type,Style,Tempo,GMD Drummer,GMD Performance Session,GMD Segment Type,GMD Segment Meter,Selected 2Bars From Start,Dualized Midifolder Path,Test Folder
096,True,True,False,False,True,Simple Complex,latin-brazilian-samba,110.0,drummer5,session2,beat,4-4,4,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[096 P1P2] drummer5-session2-17_latin-brazilian-samba_110_beat_4-4_best_2bar_segment_4
097,True,True,False,False,True,Simple Complex,reggae,126.0,drummer5,session2,beat,4-4,32,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[097 P1P2] drummer5-session2-5_reggae_126_beat_4-4_best_2bar_segment_32
098,True,True,False,False,True,Simple Complex,rock,95.0,drummer6,session2,beat,4-4,31,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[098 P1P2] drummer6-session2-1_rock_95_beat_4-4_best_2bar_segment_31
099,True,True,False,False,True,Simple Complex,rock,95.0,drummer6,session2,beat,4-4,31,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[099 P1P2] drummer6-session2-2_rock_95_beat_4-4_best_2bar_segment_31
100,True,True,False,False,True,Simple Complex,rock,88.0,drummer6,session2,beat,4-4,57,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[100 P1P2] drummer6-session2-3_rock_88_beat_4-4_best_2bar_segment_57
101,True,True,False,False,True,Simple Complex,rock,100.0,drummer6,session3,beat,4-4,26,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[101 P1P2] drummer6-session3-3_rock_100_beat_4-4_best_2bar_segment_26
102,True,True,False,False,True,Simple Complex,rock,88.0,drummer6,session3,beat,4-4,19,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[102 P1P2] drummer6-session3-6_rock_88_beat_4-4_best_2bar_segment_19
103,True,True,False,False,True,Simple Complex,funk-groove1,138.0,drummer7,eval,beat,4-4,6,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[103 P1P2] drummer7-eval-session-1_funk-groove1_138_beat_4-4_best_2bar_segment_6
104,True,True,False,False,True,Simple Complex,funk,102.0,drummer7,session1,beat,4-4,11,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[104 P1P2] drummer7-session1-12_funk_102_beat_4-4_best_2bar_segment_11
105,True,True,False,False,True,Simple Complex,hiphop,100.0,drummer7,session1,beat,4-4,3,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[105 P1P2] drummer7-session1-16_hiphop_100_beat_4-4_best_2bar_segment_3
106,True,True,False,False,True,Simple Complex,hiphop,100.0,drummer7,session1,beat,4-4,19,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[106 P1P2] drummer7-session1-17_hiphop_100_beat_4-4_best_2bar_segment_19
107,True,True,False,False,True,Simple Complex,rock,86.0,drummer7,session1,beat,4-4,3,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[107 P1P2] drummer7-session1-1_rock_86_beat_4-4_best_2bar_segment_3
108,True,True,False,False,True,Simple Complex,hiphop,100.0,drummer7,session1,beat,4-4,6,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[108 P1P2] drummer7-session1-39_hiphop_100_beat_4-4_best_2bar_segment_6
109,True,True,False,False,True,Simple Complex,rock,93.0,drummer7,session1,beat,4-4,5,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[109 P1P2] drummer7-session1-7_rock_93_beat_4-4_best_2bar_segment_5
110,True,True,False,False,True,Simple Complex,rock,118.0,drummer7,session2,beat,4-4,14,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[110 P1P2] drummer7-session2-15_rock_118_beat_4-4_best_2bar_segment_14
111,True,True,False,False,True,Simple Complex,rock,118.0,drummer7,session2,beat,4-4,0,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[111 P1P2] drummer7-session2-24_rock_118_beat_4-4_best_2bar_segment_0
112,True,True,False,False,True,Simple Complex,rock,135.0,drummer7,session2,beat,4-4,11,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[112 P1P2] drummer7-session2-45_rock_135_beat_4-4_best_2bar_segment_11
113,True,True,False,False,True,Simple Complex,soul-motown,148.0,drummer7,session2,beat,4-4,2,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[113 P1P2] drummer7-session2-54_soul-motown_148_beat_4-4_best_2bar_segment_2
114,True,True,False,False,True,Simple Complex,hiphop,75.0,drummer7,session2,beat,4-4,17,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[114 P1P2] drummer7-session2-87_hiphop_75_beat_4-4_best_2bar_segment_17
115,True,True,False,False,True,Simple Complex,rock-indie,63.0,drummer7,session3,beat,4-4,2,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[115 P1P2] drummer7-session3-46_rock-indie_63_beat_4-4_best_2bar_segment_2
116,True,True,False,False,True,Simple Complex,funk,112.0,drummer7,session3,beat,4-4,8,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[116 P1P2] drummer7-session3-64_funk_112_beat_4-4_best_2bar_segment_8
117,True,True,False,False,True,Simple Complex,funk,112.0,drummer7,session3,beat,4-4,13,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[117 P1P2] drummer7-session3-65_funk_112_beat_4-4_best_2bar_segment_13
118,True,True,False,False,True,Simple Complex,neworleans-funk,93.0,drummer7,session3,beat,4-4,1,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[118 P1P2] drummer7-session3-91_neworleans-funk_93_beat_4-4_best_2bar_segment_1
119,True,True,False,False,True,Simple Complex,soul-groove3,86.0,drummer8,eval,beat,4-4,10,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[119 P1P2] drummer8-eval-session-3_soul-groove3_86_beat_4-4_best_2bar_segment_10
120,True,True,False,False,True,Simple Complex,funk-groove5,84.0,drummer8,eval,beat,4-4,1,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[120 P1P2] drummer8-eval-session-5_funk-groove5_84_beat_4-4_best_2bar_segment_1
121,True,True,False,False,True,Simple Complex,soul-groove9,105.0,drummer8,eval,beat,4-4,4,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[121 P1P2] drummer8-eval-session-9_soul-groove9_105_beat_4-4_best_2bar_segment_4
122,True,True,False,False,True,Simple Complex,funk-latin,100.0,drummer8,session1,beat,4-4,38,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[122 P1P2] drummer8-session1-24_funk-latin_100_beat_4-4_best_2bar_segment_38
123,True,True,False,False,True,Simple Complex,funk-latin,100.0,drummer8,session1,beat,4-4,1,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[123 P1P2] drummer8-session1-25_funk-latin_100_beat_4-4_best_2bar_segment_1
124,True,True,False,False,True,Simple Complex,latin,122.0,drummer8,session1,beat,4-4,35,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[124 P1P2] drummer8-session1-27_latin_122_beat_4-4_best_2bar_segment_35
125,True,True,False,False,True,Simple Complex,funk,81.0,drummer8,session2,beat,4-4,56,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[125 P1P2] drummer8-session2-11_funk_81_beat_4-4_best_2bar_segment_56
126,True,True,False,False,True,Simple Complex,funk,95.0,drummer8,session2,beat,4-4,13,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[126 P1P2] drummer8-session2-15_funk_95_beat_4-4_best_2bar_segment_13
127,True,True,False,False,True,Simple Complex,rock,96.0,drummer8,session2,beat,4-4,23,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[127 P1P2] drummer8-session2-22_rock_96_beat_4-4_best_2bar_segment_23
128,True,True,False,False,True,Simple Complex,rock,96.0,drummer8,session2,beat,4-4,20,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[128 P1P2] drummer8-session2-23_rock_96_beat_4-4_best_2bar_segment_20
129,True,True,False,False,True,Simple Complex,latin,84.0,drummer8,session2,beat,4-4,7,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[129 P1P2] drummer8-session2-25_latin_84_beat_4-4_best_2bar_segment_7
130,True,True,False,False,True,Simple Complex,dance-disco,137.0,drummer8,session2,beat,4-4,32,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[130 P1P2] drummer8-session2-26_dance-disco_137_beat_4-4_best_2bar_segment_32
131,True,True,False,False,True,Simple Complex,latin-bounce,106.0,drummer8,session2,beat,4-4,62,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[131 P1P2] drummer8-session2-28_latin-bounce_106_beat_4-4_best_2bar_segment_62
132,True,True,False,False,True,Simple Complex,rock,117.0,drummer8,session2,beat,4-4,17,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[132 P1P2] drummer8-session2-33_rock_117_beat_4-4_best_2bar_segment_17
133,True,True,False,False,True,Simple Complex,rock,112.0,drummer8,session2,beat,4-4,17,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[133 P1P2] drummer8-session2-37_rock_112_beat_4-4_best_2bar_segment_17
134,True,True,False,False,True,Simple Complex,latin,95.0,drummer8,session2,beat,4-4,15,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[134 P1P2] drummer8-session2-7_latin_95_beat_4-4_best_2bar_segment_15
135,True,True,False,False,True,Simple Complex,latin,95.0,drummer8,session2,beat,4-4,5,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[135 P1P2] drummer8-session2-8_latin_95_beat_4-4_best_2bar_segment_5
136,True,True,False,False,True,Simple Complex,rock,120.0,drummer9,session1,beat,4-4,8,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[136 P1P2] drummer9-session1-20_rock_120_beat_4-4_best_2bar_segment_8
137,True,True,False,False,True,Simple Complex,rock,120.0,drummer9,session1,beat,4-4,7,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[137 P1P2] drummer9-session1-22_rock_120_beat_4-4_best_2bar_segment_7
138,True,True,False,False,True,Simple Complex,rock,90.0,drummer9,session1,beat,4-4,3,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[138 P1P2] drummer9-session1-25_rock_90_beat_4-4_best_2bar_segment_3
139,True,True,False,False,True,Simple Complex,rock,90.0,drummer9,session1,beat,4-4,0,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[139 P1P2] drummer9-session1-30_rock_90_beat_4-4_best_2bar_segment_0
140,True,True,False,False,True,Simple Complex,rock,100.0,drummer9,session1,beat,4-4,1,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[140 P1P2] drummer9-session1-4_rock_100_beat_4-4_best_2bar_segment_1
141,True,True,False,False,True,Simple Complex,rock,100.0,drummer9,session1,beat,4-4,0,midi_files/SimpleComplex/tested_with_two_participants/dualized,midi_files/SimpleComplex/tested_with_two_participants/[141 P1P2] drummer9-session1-9_rock_100_beat_4-4_best_2bar_segment_0
142,True,False,False,False,False,Simple Complex,jazz-swing,124.0,drummer10,session1,beat,4-4,60,midi_files/SimpleComplex/tested_with_Participant_1_Only/dualized,midi_files/SimpleComplex/tested_with_Participant_1_Only/[142 P1] drummer10-session1-1_jazz-swing_124_beat_4-4_best_2bar_segment_60
143,True,False,False,False,False,Simple Complex,jazz-swing,215.0,drummer10,session1,beat,4-4,30,midi_files/SimpleComplex/tested_with_Participant_1_Only/dualized,midi_files/SimpleComplex/tested_with_Participant_1_Only/[143 P1] drummer10-session1-2_jazz-swing_215_beat_4-4_best_2bar_segment_30
144,True,False,False,False,False,Simple Complex,jazz-swing,215.0,drummer10,session1,beat,4-4,12,midi_files/SimpleComplex/tested_with_Participant_1_Only/dualized,midi_files/SimpleComplex/tested_with_Participant_1_Only/[144 P1] drummer10-session1-3_jazz-swing_215_beat_4-4_best_2bar_segment_12
145,True,False,False,False,False,Simple Complex,jazz-swing,215.0,drummer10,session1,beat,4-4,5,midi_files/SimpleComplex/tested_with_Participant_1_Only/dualized,midi_files/SimpleComplex/tested_with_Participant_1_Only/[145 P1] drummer10-session1-4_jazz-swing_215_beat_4-4_best_2bar_segment_5
146,True,False,False,False,False,Simple Complex,jazz-swing,215.0,drummer10,session1,beat,4-4,22,midi_files/SimpleComplex/tested_with_Participant_1_Only/dualized,midi_files/SimpleComplex/tested_with_Participant_1_Only/[146 P1] drummer10-session1-5_jazz-swing_215_beat_4-4_best_2bar_segment_22
147,True,False,False,False,False,Simple Complex,jazz-swing,215.0,drummer10,session1,beat,4-4,7,midi_files/SimpleComplex/tested_with_Participant_1_Only/dualized,midi_files/SimpleComplex/tested_with_Participant_1_Only/[147 P1] drummer10-session1-6_jazz-swing_215_beat_4-4_best_2bar_segment_7
148,True,False,False,False,False,Simple Complex,funk-groove1,138.0,drummer1,eval,beat,4-4,5,midi_files/SimpleComplex/tested_with_Participant_1_Only/dualized,midi_files/SimpleComplex/tested_with_Participant_1_Only/[148 P1] drummer1-eval-session-1_funk-groove1_138_beat_4-4_best_2bar_segment_5
149,True,False,False,False,False,Simple Complex,funk-groove2,105.0,drummer1,eval,beat,4-4,5,midi_files/SimpleComplex/tested_with_Participant_1_Only/dualized,midi_files/SimpleComplex/tested_with_Participant_1_Only/[149 P1] drummer1-eval-session-2_funk-groove2_105_beat_4-4_best_2bar_segment_5
150,True,False,False,False,False,Simple Complex,funk-fast,125.0,drummer1,session1,beat,4-4,22,midi_files/SimpleComplex/tested_with_Participant_1_Only/dualized,midi_files/SimpleComplex/tested_with_Participant_1_Only/[150 P1] drummer1-session1-126_funk-fast_125_beat_4-4_best_2bar_segment_22
151,True,False,False,False,False,Simple Complex,latin-brazilian-baiao,95.0,drummer1,session1,beat,4-4,19,midi_files/SimpleComplex/tested_with_Participant_1_Only/dualized,midi_files/SimpleComplex/tested_with_Participant_1_Only/[151 P1] drummer1-session1-146_latin-brazilian-baiao_95_beat_4-4_best_2bar_segment_19
152,True,False,False,False,False,Simple Complex,funk,80.0,drummer1,session1,beat,4-4,6,midi_files/SimpleComplex/tested_with_Participant_1_Only/dualized,midi_files/SimpleComplex/tested_with_Participant_1_Only/[152 P1] drummer1-session1-1_funk_80_beat_4-4_best_2bar_segment_6
153,True,False,False,False,False,Simple Complex,funk-purdieshuffle,130.0,drummer1,session1,beat,4-4,63,midi_files/SimpleComplex/tested_with_Participant_1_Only/dualized,midi_files/SimpleComplex/tested_with_Participant_1_Only/[153 P1] drummer1-session1-239_funk-purdieshuffle_130_beat_4-4_best_2bar_segment_63
154,True,False,False,False,False,Simple Complex,latin-samba,116.0,drummer1,session1,beat,4-4,34,midi_files/SimpleComplex/tested_with_Participant_1_Only/dualized,midi_files/SimpleComplex/tested_with_Participant_1_Only/[154 P1] drummer1-session1-28_latin-samba_116_beat_4-4_best_2bar_segment_34
155,True,False,False,False,False,Simple Complex,funk,80.0,drummer1,session1,beat,4-4,6,midi_files/SimpleComplex/tested_with_Participant_1_Only/dualized,midi_files/SimpleComplex/tested_with_Participant_1_Only/[155 P1] drummer1-session1-2_funk_80_beat_4-4_best_2bar_segment_6
156,True,False,False,False,False,Simple Complex,jazz,93.0,drummer1,session1,beat,4-4,24,midi_files/SimpleComplex/tested_with_Participant_1_Only/dualized,midi_files/SimpleComplex/tested_with_Participant_1_Only/[156 P1] drummer1-session1-48_jazz_93_beat_4-4_best_2bar_segment_24
157,True,False,False,False,False,Simple Complex,jazz,125.0,drummer1,session1,beat,4-4,3,midi_files/SimpleComplex/tested_with_Participant_1_Only/dualized,midi_files/SimpleComplex/tested_with_Participant_1_Only/[157 P1] drummer1-session1-49_jazz_125_beat_4-4_best_2bar_segment_3
158,True,False,False,False,False,Simple Complex,jazz,125.0,drummer1,session1,beat,4-4,2,midi_files/SimpleComplex/tested_with_Participant_1_Only/dualized,midi_files/SimpleComplex/tested_with_Participant_1_Only/[158 P1] drummer1-session1-75_jazz_125_beat_4-4_best_2bar_segment_2
159,True,False,False,False,False,Simple Complex,jazz-fast,290.0,drummer1,session1,beat,4-4,50,midi_files/SimpleComplex/tested_with_Participant_1_Only/dualized,midi_files/SimpleComplex/tested_with_Participant_1_Only/[159 P1] drummer1-session1-78_jazz-fast_290_beat_4-4_best_2bar_segment_50
160,True,False,False,False,False,Simple Complex,dance-breakbeat,170.0,drummer1,session1,beat,4-4,4,midi_files/SimpleComplex/tested_with_Participant_1_Only/dualized,midi_files/SimpleComplex/tested_with_Participant_1_Only/[160 P1] drummer1-session1-80_dance-breakbeat_170_beat_4-4_best_2bar_segment_4
161,True,False,False,False,False,Simple Complex,country,114.0,drummer1,session2,beat,4-4,58,midi_files/SimpleComplex/tested_with_Participant_1_Only/dualized,midi_files/SimpleComplex/tested_with_Participant_1_Only/[161 P1] drummer1-session2-10_country_114_beat_4-4_best_2bar_segment_58
162,True,False,False,False,False,Simple Complex,rock-prog,190.0,drummer1,session2,beat,4-4,9,midi_files/SimpleComplex/tested_with_Participant_1_Only/dualized,midi_files/SimpleComplex/tested_with_Participant_1_Only/[162 P1] drummer1-session2-110_rock-prog_190_beat_4-4_best_2bar_segment_9
163,True,False,False,False,False,Simple Complex,afrocuban-bembe,122.0,drummer1,session2,beat,4-4,11,midi_files/SimpleComplex/tested_with_Participant_1_Only/dualized,midi_files/SimpleComplex/tested_with_Participant_1_Only/[163 P1] drummer1-session2-112_afrocuban-bembe_122_beat_4-4_best_2bar_segment_11
164,True,False,False,False,False,Simple Complex,gospel,120.0,drummer1,session2,beat,4-4,17,midi_files/SimpleComplex/tested_with_Participant_1_Only/dualized,midi_files/SimpleComplex/tested_with_Participant_1_Only/[164 P1] drummer1-session2-142_gospel_120_beat_4-4_best_2bar_segment_17
165,True,False,False,False,False,Simple Complex,afrocuban-rhumba,110.0,drummer1,session2,beat,4-4,35,midi_files/SimpleComplex/tested_with_Participant_1_Only/dualized,midi_files/SimpleComplex/tested_with_Participant_1_Only/[165 P1] drummer1-session2-161_afrocuban-rhumba_110_beat_4-4_best_2bar_segment_35
166,True,False,False,False,False,Simple Complex,rock,50.0,drummer1,session2,beat,4-4,8,midi_files/SimpleComplex/tested_with_Participant_1_Only/dualized,midi_files/SimpleComplex/tested_with_Participant_1_Only/[166 P1] drummer1-session2-180_rock_50_beat_4-4_best_2bar_segment_8
167,True,False,False,False,False,Simple Complex,rock,115.0,drummer1,session2,beat,4-4,18,midi_files/SimpleComplex/tested_with_Participant_1_Only/dualized,midi_files/SimpleComplex/tested_with_Participant_1_Only/[167 P1] drummer1-session2-181_rock_115_beat_4-4_best_2bar_segment_18
168,True,False,False,False,False,Simple Complex,latin-chacarera,118.0,drummer1,session2,beat,4-4,54,midi_files/SimpleComplex/tested_with_Participant_1_Only/dualized,midi_files/SimpleComplex/tested_with_Participant_1_Only/[168 P1] drummer1-session2-2_latin-chacarera_118_beat_4-4_best_2bar_segment_54
169,True,False,False,False,False,Simple Complex,punk,128.0,drummer1,session2,beat,4-4,30,midi_files/SimpleComplex/tested_with_Participant_1_Only/dualized,midi_files/SimpleComplex/tested_with_Participant_1_Only/[169 P1] drummer1-session2-35_punk_128_beat_4-4_best_2bar_segment_30
170,True,False,False,False,False,Simple Complex,punk,128.0,drummer1,session2,beat,4-4,0,midi_files/SimpleComplex/tested_with_Participant_1_Only/dualized,midi_files/SimpleComplex/tested_with_Participant_1_Only/[170 P1] drummer1-session2-36_punk_128_beat_4-4_best_2bar_segment_0
171,True,False,False,False,False,Simple Complex,punk,144.0,drummer1,session2,beat,4-4,8,midi_files/SimpleComplex/tested_with_Participant_1_Only/dualized,midi_files/SimpleComplex/tested_with_Participant_1_Only/[171 P1] drummer1-session2-62_punk_144_beat_4-4_best_2bar_segment_8
172,True,False,False,False,False,Simple Complex,jazz-march,88.0,drummer1,session2,beat,4-4,1,midi_files/SimpleComplex/tested_with_Participant_1_Only/dualized,midi_files/SimpleComplex/tested_with_Participant_1_Only/[172 P1] drummer1-session2-7_jazz-march_88_beat_4-4_best_2bar_segment_1
173,True,False,False,False,False,Simple Complex,jazz-march,176.0,drummer1,session2,beat,4-4,35,midi_files/SimpleComplex/tested_with_Participant_1_Only/dualized,midi_files/SimpleComplex/tested_with_Participant_1_Only/[173 P1] drummer1-session2-8_jazz-march_176_beat_4-4_best_2bar_segment_35
174,True,False,False,False,False,Simple Complex,funk-rock,92.0,drummer1,session2,beat,4-4,37,midi_files/SimpleComplex/tested_with_Participant_1_Only/dualized,midi_files/SimpleComplex/tested_with_Participant_1_Only/[174 P1] drummer1-session2-90_funk-rock_92_beat_4-4_best_2bar_segment_37
175,True,False,False,False,False,Simple Complex,rock-folk,90.0,drummer1,session3,beat,4-4,27,midi_files/SimpleComplex/tested_with_Participant_1_Only/dualized,midi_files/SimpleComplex/tested_with_Participant_1_Only/[175 P1] drummer1-session3-10_rock-folk_90_beat_4-4_best_2bar_segment_27
176,True,False,False,False,False,Simple Complex,afrobeat,94.0,drummer1,session3,beat,4-4,87,midi_files/SimpleComplex/tested_with_Participant_1_Only/dualized,midi_files/SimpleComplex/tested_with_Participant_1_Only/[176 P1] drummer1-session3-11_afrobeat_94_beat_4-4_best_2bar_segment_87
177,True,False,False,False,False,Simple Complex,latin-bomba,96.0,drummer1,session3,beat,4-4,29,midi_files/SimpleComplex/tested_with_Participant_1_Only/dualized,midi_files/SimpleComplex/tested_with_Participant_1_Only/[177 P1] drummer1-session3-12_latin-bomba_96_beat_4-4_best_2bar_segment_29
178,True,False,False,False,False,Simple Complex,rock,115.0,drummer1,session3,beat,4-4,56,midi_files/SimpleComplex/tested_with_Participant_1_Only/dualized,midi_files/SimpleComplex/tested_with_Participant_1_Only/[178 P1] drummer1-session3-13_rock_115_beat_4-4_best_2bar_segment_56
179,True,False,False,False,False,Simple Complex,afrocuban-calypso,108.0,drummer1,session3,beat,4-4,14,midi_files/SimpleComplex/tested_with_Participant_1_Only/dualized,midi_files/SimpleComplex/tested_with_Participant_1_Only/[179 P1] drummer1-session3-17_afrocuban-calypso_108_beat_4-4_best_2bar_segment_14
180,True,False,False,False,False,Simple Complex,rock,128.0,drummer1,session3,beat,4-4,5,midi_files/SimpleComplex/tested_with_Participant_1_Only/dualized,midi_files/SimpleComplex/tested_with_Participant_1_Only/[180 P1] drummer1-session3-18_rock_128_beat_4-4_best_2bar_segment_5
181,True,False,False,False,False,Simple Complex,rock-prog,125.0,drummer1,session3,beat,4-4,88,midi_files/SimpleComplex/tested_with_Participant_1_Only/dualized,midi_files/SimpleComplex/tested_with_Participant_1_Only/[181 P1] drummer1-session3-1_rock-prog_125_beat_4-4_best_2bar_segment_88
182,True,False,False,False,False,Simple Complex,jazz-linear,182.0,drummer1,session3,beat,4-4,124,midi_files/SimpleComplex/tested_with_Participant_1_Only/dualized,midi_files/SimpleComplex/tested_with_Participant_1_Only/[182 P1] drummer1-session3-4_jazz-linear_182_beat_4-4_best_2bar_segment_124
183,True,False,False,False,False,Simple Complex,rock,135.0,drummer1,session3,beat,4-4,11,midi_files/SimpleComplex/tested_with_Participant_1_Only/dualized,midi_files/SimpleComplex/tested_with_Participant_1_Only/[183 P1] drummer1-session3-8_rock_135_beat_4-4_best_2bar_segment_11
184,True,False,False,False,False,Simple Complex,rock,130.0,drummer2,session2,beat,4-4,9,midi_files/SimpleComplex/tested_with_Participant_1_Only/dualized,midi_files/SimpleComplex/tested_with_Participant_1_Only/[184 P1] drummer2-session2-1_rock_130_beat_4-4_best_2bar_segment_9
185,True,False,False,False,False,Simple Complex,rock,130.0,drummer2,session2,beat,4-4,4,midi_files/SimpleComplex/tested_with_Participant_1_Only/dualized,midi_files/SimpleComplex/tested_with_Participant_1_Only/[185 P1] drummer2-session2-2_rock_130_beat_4-4_best_2bar_segment_4
186,True,False,False,False,False,Simple Complex,rock,130.0,drummer2,session2,beat,4-4,3,midi_files/SimpleComplex/tested_with_Participant_1_Only/dualized,midi_files/SimpleComplex/tested_with_Participant_1_Only/[186 P1] drummer2-session2-4_rock_130_beat_4-4_best_2bar_segment_3
187,True,False,False,False,False,Simple Complex,rock,130.0,drummer2,session2,beat,4-4,1,midi_files/SimpleComplex/tested_with_Participant_1_Only/dualized,midi_files/SimpleComplex/tested_with_Participant_1_Only/[187 P1] drummer2-session2-6_rock_130_beat_4-4_best_2bar_segment_1
188,True,False,False,False,False,Simple Complex,rock,130.0,drummer2,session2,beat,4-4,15,midi_files/SimpleComplex/tested_with_Participant_1_Only/dualized,midi_files/SimpleComplex/tested_with_Participant_1_Only/[188 P1] drummer2-session2-7_rock_130_beat_4-4_best_2bar_segment_15
189,True,False,False,False,False,Simple Complex,rock-shuffle,85.0,drummer2,session3,beat,4-4,48,midi_files/SimpleComplex/tested_with_Participant_1_Only/dualized,midi_files/SimpleComplex/tested_with_Participant_1_Only/[189 P1] drummer2-session3-1_rock-shuffle_85_beat_4-4_best_2bar_segment_48
190,True,False,False,False,False,Simple Complex,rock,120.0,drummer3,session1,beat,4-4,1,midi_files/SimpleComplex/tested_with_Participant_1_Only/dualized,midi_files/SimpleComplex/tested_with_Participant_1_Only/[190 P1] drummer3-session1-11_rock_120_beat_4-4_best_2bar_segment_1
191,True,False,False,False,False,Simple Complex,rock,120.0,drummer3,session1,beat,4-4,1,midi_files/SimpleComplex/tested_with_Participant_1_Only/dualized,midi_files/SimpleComplex/tested_with_Participant_1_Only/[191 P1] drummer3-session1-12_rock_120_beat_4-4_best_2bar_segment_1
192,True,False,False,False,False,Simple Complex,rock,120.0,drummer3,session1,beat,4-4,1,midi_files/SimpleComplex/tested_with_Participant_1_Only/dualized,midi_files/SimpleComplex/tested_with_Participant_1_Only/[192 P1] drummer3-session1-18_rock_120_beat_4-4_best_2bar_segment_1
193,True,False,False,False,False,Simple Complex,jazz,120.0,drummer3,session1,beat,4-4,1,midi_files/SimpleComplex/tested_with_Participant_1_Only/dualized,midi_files/SimpleComplex/tested_with_Participant_1_Only/[193 P1] drummer3-session1-19_jazz_120_beat_4-4_best_2bar_segment_1
